count_legs,legs_up,legs_down,pips_up,pips_down,hours_up,hours_down,edge_legs,edge_pips,edge_hours,threshold_pips
57139,28570,28569,890700.1000000003,884372.6000000003,88334,86588,1.000035002975253,1.007154789734553,1.020164456968633,5.0
37867,18934,18933,822408.9000000001,816081.4000000001,88382,86540,1.0000528178313,1.0077535157644812,1.0212849549341345,10.0
26901,13451,13450,755906.4,749538.1,88355,86531,1.0000743494423792,1.0084962992541675,1.02107915082456,15.0
20293,10147,10146,699388.9,693020.6,88044,86842,1.0000985610092648,1.0091891929330816,1.0138412288984593,20.0
13141,6571,6570,613026.0999999999,606657.7999999999,87638,87248,1.000152207001522,1.0104973512250233,1.0044700165046763,30.0
9315,4658,4657,547425.2000000001,541056.9,87646,87240,1.0002147305132059,1.0117701114245101,1.004653828519028,40.0
6983,3492,3491,495820.70000000007,489452.4,87565,87321,1.000286450873675,1.013011071148083,1.0027942877429254,50.0
5601,2801,2800,458226.5,451858.19999999995,88262,86624,1.000357142857143,1.0140935806852682,1.0189093091983745,60.0
3841,1921,1920,398000.6,391564.5,88283,86448,1.0005208333333333,1.0164368833231816,1.0212266333518416,80.0
2789,1395,1394,351071.4,344635.3,88166,86565,1.0007173601147776,1.018675103798131,1.0184947727141453,100.0
1486,743,743,272385.4,266281.0,88099,85804,1.0,1.0229246547819786,1.026747004801641,150.0
942,471,471,225780.0,219675.60000000003,90210,83693,1.0,1.0277882477616993,1.0778679220484388,200.0
500,250,250,172047.40000000002,165943.0,88914,84989,1.0,1.036786125356297,1.0461824471402181,300.0
304,152,152,138316.10000000003,132284.30000000002,83801,88468,1.0,1.0455972477459534,0.9472464619975585,400.0
174,87,87,108143.1,103318.8,85055,83760,1.0,1.0466933413860788,1.0154608404966572,500.0
